"FOURNISSEUR_NOM","FOURNISSEUR_CODE","DATE_CREATION","Title","Image","Description"
A10,01.202711,22/09/2022,Bâche terrain 2 x 2 m Ultra-Light cam ce,https://www.vsmdiffusion.fr/8292-large_default/bache-terrain-2-x-2-m-ultra-light-cam-ce.jpg,Composition : Tissu polyester 210T Ripstop® 2.5 LIGHT-SHELL Enduction imperméable 4000 mm Caractéristiques : Coutures étanches renforcées Système d'accroche avec 8 oeillets en métal renforcés Répartition des points d'ancrage multi-fonctionnelle Coutures et sangles en nylonLivrée dans une housse de transport avec fermeture par cordon de serrageCONSEILS D'ENTRETIEN : Lavage à la main ou en machine à 30°. Sécher loin d'une source de chaleur.  Dimensions :  Bâche : 2 x 2 m Housse : L22 x H25 cmPoids : 480 gr Coloris : Camo CE
VANOS,469351,22/11/2022,Bandes Camouflage Extensibles en Rouleau,https://www.quaerius.com/16058-large_default/bandes-camouflage-extensibles-en-rouleau-fosco-industries.jpg,
A10,14.099320,01/12/2022,Batterie rechargeable pour lampe d'intervention Klarus,https://www.vsmdiffusion.fr/3261-large_default/batterie-rechargeable-pour-lampe-d-intervention-klarus.jpg,Caractéristiques :Batterie rechargeable de rechange type 18650 pour lampes d'intervention Klarus XT2C /RS11 / XT11 / XT20 / XT30. 3.7V 2600mAh
A10,14.099285,01/12/2022,Batterie rechargeable pour lampe XT21X/G15,https://www.vsmdiffusion.fr/6262-large_default/batterie-rechargeable-pour-lampe-xt21x-g15.jpg,Caractéristiques : Batterie rechargeable Lithium-Ion 21700 3.6V 5000 mAh Coloris : Noir et Rouge
A10,30.027345,01/12/2022,Batterie rechargeable Petzl Core pour Tactikka +RGB,https://www.vsmdiffusion.fr/4341-large_default/batterie-rechargeable-pour-lampe-d-intervention-klarus.jpg,"Caractéristiques :Batterie rechargeable Lithium-Ion 3.6V 1250 mAh pour lampe Tactikka, Tactikka + ou Tactikka +RGB Rechargeable par cordon USB (fourni) Adaptateur secteur réf 99322 et adaptateur allume-cigare réf 99324 vendus séparément"
A10,14.099378,01/12/2022,Batterie rechargeable prise micro USB pour lampe 360X1/XT12GT/XT12S/XT2CR,https://www.vsmdiffusion.fr/6117-large_default/batterie-rechargeable-prise-micro-usb-pour-lampe-360x1-xt12gt-xt12s-xt2cr.jpg,Batterie Lithium-Ion 18650 3.6V 3600 mAh rechargeable via sa prise micro USB par cordon USB non magnétique réf 99299 (vendu séparément) Adaptateur secteur réf 99322 et adaptateur allume-cigare réf 99324 vendus séparément Témoin de charge lumineux sur le dessus de la batterie (rouge = rechargement en cours / bleu = charge complète)
VANOS,439205,19/11/2022,Bec Verseur Jerrycan,https://www.quaerius.com/33896-large_default/bec-verseur-jerrycan.jpg,
HIGHLANDER,BIV004,05/10/2023,"Kestrel Rip-Stop Bivvy Bag, Olive",https://cdn.shopify.com/s/files/1/0618/6264/1948/products/BIV004-OG-01-KESTRELBIVIBAG.jpg?v=1669910311,"The Kestrel bivvy bag is a great entry level bivi bag which is lightweight, waterproof and compact. Designed with a high quality specification and material, this bivi will keep you dry and comfortable during the night."
PROMODIS,9515,24/09/2022,BLOUSON BOMBER TREX,https://www.promodis.net/media/catalog/product/cache/ac970df93b99532c0b37d662b2202a24/b/l/blouson-bomber-trex-9515-master_9515_DEB_WEB_5.jpg,"Le blouson bomber TREX ARES associe le confort qui a fait la réputation de la coupe bomber à une protection intempéries haut de gamme.Le tissus extérieur softshell membrané offre un niveau d’imperméabilité de 10000mm et de respirabilité de 5000mvp.Le garnissage matelassé complète la protection thermique, faisant de ce blouson un véritable rempart contre les conditions climatiques hivernales.Référence aux blousons bombers des années 50 qui équipaient l’USAF et la Navy, la doublure intérieure orange emblématique est le clin d’œil au passé dans ce vêtement technique résolument moderne.OUTDOOR"
TREESCO,2909,08/11/2022,Parka Enfant Percussion Dubon Camo,https://www.madeinchasse.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/2/9/2909-parka-dubon-enfant-camo-ce-face-2015.jpg,La Parka Enfant Dubon Camo de Percussion est une veste de chasse pour enfant chaude et déperlante.
A10,01.203060,21/03/2023,Blouson Hardshell WF 150 Sécu-one flap sécurité,https://www.vsmdiffusion.fr/13006-large_default/blouson-hardshell-wf-150-secu-one-flap-securite.jpg,"Le blouson HARDSHELL WF 150 SECU-ONE FLAP SECURITE possède les technologies HEAT PROTECT et HARD-SHELL. L'isolation thermique HEAT PROTECT assure une protection de -5°C à -10°C. La technologie HARD-SHELL 2 LAYERS combine un tissu extérieur déperlant et une membrane X-PERF imperméable/respirante avec des coutures étanches. Ces atouts sont indispensables lors de vos missions par temps froid. TECHNICITÉ : Indice d'isolation thermique HEAT PROTECT Confort -5°C > Extrême -10°CTechnologie WF 150 en fibres synthétiquesTechnologie HARD-SHELL 2 LAYERS (2 couches)Membrane X-PERF 3000/3000 mm imperméable et respiranteTraitement déperlant DWR-TECHCoutures étanches ERGONOMIE / DESIGN : Fermeture centrale zippée à double curseur avec patte de sécurité et rabats intérieur et extérieurCapuche élastiquéeCol montantCoudes ajustésPoignets semi-élastiqués, réglables par velcro et avec manchonTaille élastiquéeFONCTIONNALITÉ :1 poche poitrine plaquée zippée2 grandes poches taille semi-plaquées et fermées par velcro1 poche intérieure plaquée zippée7 compartiments intérieurs plaqués dont 3 pour emplacement stylos4 passants intérieurs élastiqués pour fils écouteurs1 accès intérieur zippé pour personnaliser le dos1 crochet poitrine2 velcros brasPro-Card Patch SECU-ONE pouvant accueillir votre carte professionnelle au format carte de crédit2 poches flaps zippées avec 2 patchs amovibles ""SECURITE"" inclus (poitrine = 13 x 5 cm / dos = 30 x 9 cm)COMPOSITION : 65% polyester 35% cotonRembourrage : 100% polyesterTissu certifié Oeko-Tex Standard 100COLORIS :Noir TAILLES : Du XS au 4XLCONSEILS D'ENTRETIEN :Lavage à 30°"
TREESCO,2927,08/11/2022,Blouson polaire Enfant Percussion - Orange / Kaki,https://www.madeinchasse.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/2/9/2927-blouson_polaire_enfant-orange-34-2022.jpg,Le blouson de chasse polaire Enfant Orange / Kaki de Percussion est une polaire chaude et confortable.
TREESCO,PHPO011,04/11/2022,Blouson de chasse ProHunt Puma Evo - Snake Blaze,https://www.madeinchasse.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/p/h/phpo011-blouson_puma-snake_blaze-34-2022.jpg,"Le blouson ProHunt Puma Evo - Snake Blaze est une veste de chasse silencieuse, souple, étanche et respirante."
TREESCO,15195,04/11/2022,Blouson de chasse Percussion Softrack,https://www.madeinchasse.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/1/5/15195-blouson_softrack-orange_ghostcamo_blaze_black-34-retouche-2020.jpg,Le blouson Percussion Softrack est un blouson de chasse 100% Polyester légèrement stretch avec une membrane imperméable et respirante.
